,,baseline,add_unlab,anchor,teacher
0,gchurns_val,174,157,183,
0,bchurns_val,252,177,231,
0,churn_ratio,0.69047619,0.88700565,0.792207792,
0,accuracies_val,91.46250153,92.02500153,91.82499695,91.75
0.3,gchurns_val,174,145,154,
0.3,bchurns_val,252,174,211,
0.3,churn_ratio,0.69047619,0.833333333,0.72985782,
0.3,accuracies_val,91.46250153,91.88749695,91.66249847,91.75
0.5,gchurns_val,174,133,161,
0.5,bchurns_val,252,173,189,
0.5,churn_ratio,0.69047619,0.768786127,0.851851852,
0.5,accuracies_val,91.46250153,91.75,91.98750305,91.75
0.7,gchurns_val,174,117,158,
0.7,bchurns_val,252,151,173,
0.7,churn_ratio,0.69047619,0.774834437,0.913294798,
0.7,accuracies_val,91.46250153,91.76249695,91.97499847,91.75
0.9,gchurns_val,174,112,139,
0.9,bchurns_val,252,164,166,
0.9,churn_ratio,0.69047619,0.682926829,0.837349398,
0.9,accuracies_val,91.46250153,91.53749847,91.96250153,91.75
